Operator,TD,TVD,TotalFluid,TotalProppant,TopPerf,BottomPerf,FluidType,LateralLength,ChokeTopDescription,MaxFlowingPSI,MaxShutinPSI,FlowGas,FlowWater,SurfaceX,SurfaceY,Z_BelowSurface,Isopach,Porosity,TotalGasBCFPerSection,Temperature,Pressure,KOP,FirstProdDate,minLateralSpacing,numOfOffsetLateralSpacingWells,EUR,IP
P,16098,10101,173409.2,6226000,10445,15916,SLKW,4051.5,0.25,4342,6382,4763,278,1715898.32,888532.1794,10420,59,0.0819,75.2214,280.4,8009.190909,1400,2016,2631.552728,1,10500000,4311.304105
P,16927,10088,210602,7260000,10166,15916,SLKW,4590,0.25,4727,6555,3201,222,1715883.96,888527.2382,10420,59,0.0819,75.2214,280.4,8009.190909,4423.5,2016,1308.706458,2,9800000,4174.570115
P,14511,9735,147372.7,4438660,10068,14300,SLKW,3212.25,0.25,4622,4830,7324,105,1620680.257,804820.2348,9732,159,0.12,189.2644,266.64,7328.196,4548,2014,1512.592043,1,13800000,5208.021675
P,15161,9721,167104.9,5415940,10154,14945,SLKW,3635.25,0.21875,4742,4955,7745,263,1620696.417,804820.0705,9732,159,0.12,189.2644,266.64,7328.196,4402,2014,1467.75202,2,14800000,5596.057143
P,15153,9823,169611.9,5419180,10232,14905,SLKW,3570.75,0.25,4869,4963,6974,234,1622558.654,805499.2222,9784,159,0.12,190.2331,267.68,7378.914909,4502,2014,1468.17125,1,12300000,5024.213793
P,16787,9418,437934.5,17072000,9590,16566,SLKW,5166.75,0.40625,3741,4350,11558,724,1608111.325,799118.364,9417,148,0.1179,182.0589,260.34,7023.583841,4430.5,2017,1158.577007,1,9900000,10629.71363
P,17223,9410,453622,17822000,9772,16998,SLKW,5495.25,0.40625,3759,4300,11396,791,1608098.552,799114.9713,9417,148,0.1179,182.0589,260.34,7023.583841,4429,2017,1134.692979,2,8600000,10629.71363
E,20024,10425,274057.3,16136000,10587,19940,GEL,7119,0.3125,5704,5815,8750,864,1677754.454,853191.7178,10047,95,0.1032,74.2817,272.94,7637.318386,1181,2016,1291.893014,1,11700000,9869.91133
E,21594,10478,305436.4,19312000,10240,21075,GEL,8415,0.3125,5874,5915,8711,859,1677748.125,853206.3171,10047,95,0.1032,74.2817,272.94,7637.318386,1181.5,2016,1291.893014,1,13800000,10551.61117
P,19817,12564,369248,9232000,12560,19631,SLKW,5353.5,0.40625,5270,7287,14194,933,1767273.735,844481.3125,12224,115,0.0596,55.1841,316.48,9896.994909,5869,2017,1268.922403,2,14200000,13864.37668
P,19215,12589,311264,4760000,12690,19026,SLKW,4826.25,0.4375,4802,7301,14078,1040,1767287.159,844475.1523,12224,115,0.0596,55.1841,316.48,9896.994909,5870,2017,1268.922403,1,11300000,13740.39376
S,20833,12833,NaN,715000,13100,20600,GEL,5758.5,0.25,8120,8911,9033,528,1914744.051,937159.8589,12539,112,0.105,107,322.78,10241.7982,2719,2017,NaN,0,7200000,9592.954023
P,14423,9806,131738.6,4146960,10362,14245,SLKW,2937,0.25,4683,NaN,6502,234,1622542.457,805495.7506,9784,159,0.12,190.2331,267.68,7378.914909,4498,2014,1467.75202,2,9600000,4648.021018
P,17644,11587,203574,6089760,11950,17540,SLKW,4206.75,0.25,5549,5765,6293,390,1708849.477,824919.823,11442,96,0.0908,78.0193,300.84,9060.503727,5467.5,2014,NaN,0,7800000,5208.021675
P,17366,11529,184862,5604470,11767,16935,SLKW,4098.75,0.25,3884,4093,6295,304,1700074.772,818599.4852,11300,135,0.0915,90.8619,298,8911.590909,5463,2014,NaN,0,7000000,4871.732348
P,16794,11269,184162,6328110,11684,16715,SLKW,3690.75,0.25,4858,5031,7371,319,1700061.819,818595.9561,11300,135,0.0915,90.8619,298,8911.590909,5511.5,2014,NaN,0,9400000,5515.067323
P,15394,10168,182960.9,6219960,10521,15315,SLKW,3513,0.25,5292,5442,8013,351,1661536.523,828409.9751,10163,176,0.11,190.6624,275.26,7752.290205,4851,2015,NaN,0,14700000,5432.507389
P,16062,9510,218387.5,6840000,9780,15845,SLKW,4716.75,0.28125,4994,5182,9538,165,1602711.324,811482.4377,9149,160,0.1,160.6916,254.98,6767.97275,2239,2015,NaN,0,24000000,7868.35468
P,16645,10849,183470.2,5938730,11289,16515,SLKW,3944.25,0.28125,5013,5176,8736,249,1703006.123,849141.712,10840,80,0.1001,72.2968,288.8,8435.490909,5125.5,2015,1293.131264,2,9200000,7224.958949
P,16970,10819,167507.7,6244020,11394,16865,SLKW,4121.25,0.28125,5129,5276,8713,252,1703022.296,849145.2158,10840,80,0.1001,72.2968,288.8,8435.490909,2051,2015,1293.131264,2,10000000,7203.987192
P,17202,10848,178530.5,6936100,11321,17100,SLKW,4326.75,0.28125,5255,5435,10312,230,1702993.18,849138.1819,10840,80,0.1001,72.2968,288.8,8435.490909,4609.5,2015,1330.354795,2,11600000,8155.307389
P,16386,10775,165174.1,5704000,11102,16200,SLKW,3901.5,0.25,3616,3999,5689,213,1692847.773,835613.331,10867,106,0.1005,89.1855,289.34,8463.170205,5324.5,2016,1375.163392,1,10000000,4779.650246
P,16620,9437,665024.3,16794000,9917,16493,SLKW,4939.5,0.40625,3673,4200,11097,732,1609320.055,795864.4486,9472,144,0.1186,178.7068,261.44,7076.445091,4476.5,2017,1295.535493,2,9700000,9337.892282
P,15967,9444,609768.5,14826000,9804,15825,SLKW,4451.25,0.40625,3168,3600,9261,717,1609314.864,795850.3596,9472,144,0.1186,178.7068,261.44,7076.445091,1720,2017,1132.346132,2,10700000,8383.682102
P,16177,9432,633416,15476000,9737,16025,SLKW,4665,0.40625,3548,4000,9088,877,1609325.116,795878.5387,9472,144,0.1186,178.7068,261.44,7076.445091,1765,2017,1170.893272,2,10300000,8927.770115
E,17774,9906,221368.1,13638000,10180,17738,GEL,5589,0.3125,15,5315,7250,105,1678014.269,853734.8218,10031,93,0.1031,74.2817,272.62,7621.508205,4735,2015,1003.968288,1,6600000,7849.929392
E,18982,9888,251462.3,15696000,10240,18950,GEL,6429.75,0.375,4670,5215,6802,114,1678014.365,853745.729,10031,93,0.1031,74.2817,272.62,7621.508205,4811.5,2015,1003.968288,1,5300000,9776.189491
P,16230,10807,164850.6,5924000,11117,16023,SLKW,3647.25,0.25,3775,4043,5876,357,1694710.731,836310.316,10920,101,0.1004,86.6555,290.4,8517.6,5166.5,2016,1308.508694,2,8400000,4513.716256
P,16625,10816,177063.5,6194000,11209,16109,SLKW,3873.75,0.28125,3903,4082,6042,381,1694730.168,836317.425,10920,101,0.1004,86.6555,290.4,8517.6,5210.5,2016,1308.508694,2,7800000,4600.674877
P,16458,10861,97354.93,5188000,11217,16251,SLKW,3744,0.28125,4586,4753,6151,476,1694749.606,836324.5337,10920,101,0.1004,86.6555,290.4,8517.6,5213,2016,1309.988596,1,7500000,4428.401314
P,15534,9625,146951.7,6342560,9954,15355,GEL,4038,0.25,4231,4475,5486,195,1684619.323,884290.4586,9875,66,0.0992,80.956,269.5,7467.96875,4367.5,2015,NaN,0,8300000,4265.235796
S,17726,10081,143163.9,10048000,10230,17546,GEL,5556.75,0.46875,4855,5850,20351,783,1627584.933,821415.9437,9631,166,0.1189,181.3498,264.62,7230.035477,NaN,2015,957.8933127,2,14800000,14594.95501
S,17776,9675,137677.9,9666000,10150,17570,GEL,5593.5,0.5625,3946,4989,21136,1140,1627603.14,821424.0511,9631,166,0.1189,181.3498,264.62,7230.035477,1907.5,2015,841.6933416,2,12700000,15817.93813
S,17688,10081,91482.98,9812000,10260,17510,GEL,5526.75,0.46875,4821,5645,20621,780,1627621.445,821432.2665,9631,166,0.1189,181.3498,264.62,7230.035477,1999.5,2015,973.8196077,1,14000000,14990.69345
S,17700,9696,92228.36,9146000,10176,17494,GEL,5537.25,0.5625,3820,4676,21109,906,1627639.653,821440.4466,9631,166,0.1189,181.3498,264.62,7230.035477,4686,2015,974.1704334,1,13400000,10629.71371
P,16968,10594,214022.1,7032000,10894,16770,SLKW,4411.5,0.3125,4686,6435,9224,158,1699914.376,855177.2179,10620,81,0.1002,79.2294,284.4,8211.190909,5074,2016,1291.35699,2,12300000,7849.929392
P,17091,10564,209328,6704000,10914,16907,SLKW,4507.5,0.3125,4460,6340,8437,462,1699901.434,855173.6887,10620,81,0.1002,79.2294,284.4,8211.190909,5076,2016,1304.480298,2,9200000,7342.775041
P,17230,9384,711477.1,15972000,10127,17116,SLKW,6104.25,0.375,4349,4700,10038,902,1606290.924,795767.8543,9400,145,0.1152,176.2762,260,7007.272727,4451.5,2017,1250.236018,1,16100000,11689.02036
P,16836,9407,677642.8,17172000,10143,16474,SLKW,4923,0.40625,3932,4600,7552,1332,1606312.772,795770.1695,9400,145,0.1152,176.2762,260,7007.272727,1720,2017,1132.346132,2,15500000,9854.982923
P,15585,10151,166386.9,5852000,10464,15445,GEL,3816.75,0.25,5455,5657,7316,243,1642212.847,818102.6851,9979,171,0.1206,183.7386,271.58,7570.205477,4893.5,2016,730.44657,2,12100000,6403.238752
P,15255,10194,140874.2,4880000,10603,15095,GEL,3432.75,0.25,4755,5020,7283,295,1644263.37,819984.4593,9979,173,0.12,185.0614,271.58,7570.205477,4916.5,2016,1194.491821,1,11500000,5024.213793
P,14050,10259,115542.2,3862000,10455,13940,GEL,2598,0.25,3846,4093,5735,278,1644282.685,819977.0023,9979,173,0.12,185.0614,271.58,7570.205477,1084.5,2016,1187.032412,1,6600000,4198.021675
P,15265,10241,149747.3,5078000,10548,15095,GEL,3438,0.28125,3859,4103,6265,348,1644302,819969.5453,9979,173,0.12,185.0614,271.58,7570.205477,4959,2016,1187.032412,2,10200000,4934.756979
P,15585,10151,158641.9,5514000,10519,15265,GEL,NaN,0.25,4597,4736,5060,522,1642190.038,818093.0158,9979,171,0.1206,183.7386,271.58,7570.205477,4893.5,2016,730.44657,1,11100000,5546.014122
P,14851,9659,162045.5,5038470,10029,14630,SLKW,3575.25,0.25,3798,3953,6285,278,1624776.121,829229.5099,9400,156,0.1009,156.4792,260,7007.272727,4506.5,2015,NaN,0,6200000,3353.632184
P,16857,9998,211962.3,6200000,10609,16660,SLKW,4618.5,0.25,4854,6646,4169,510,1713546.357,886835.7228,10400,60,0.0848,75.819,280,7989.090909,4784.5,2016,1324.851742,1,9100000,4800.262069
P,15979,10080,200082.3,8284000,10398,15817,SLKW,3988.5,0.25,4556,6566,4291,532,1713564.394,886848.7063,10400,60,0.0848,75.819,280,7989.090909,4782.5,2016,1324.851742,2,7400000,3913.974384
S,17256,9766,146293.3,10380000,9865,17075,GEL,5485.5,0.28125,5352,NaN,5900,686,1616260.502,817218.0408,9500,167,0.1123,179.6027,262,7103.409091,1484,2015,907.8579404,2,15200000,11850.17931
S,17474,9787,145762.3,10224000,9768,17287,GEL,5721,0.28125,5404,NaN,6127,683,1616323.385,817224.4471,9500,167,0.1136,179.6027,262,7103.409091,4544,2015,982.4183283,2,18300000,11607.94253
S,17378,9757,156512.1,10908000,9740,17195,GEL,5508.75,0.28125,5479,NaN,6759,724,1616350.589,817233.4749,9500,167,0.1136,179.6027,262,7103.409091,1814.5,2015,982.4183283,2,17400000,12092.30593
P,16691,10909,164607.7,6062000,11266,16567,SLKW,3825.75,0.25,4333,4625,6307,466,1697698.342,837492.5116,10980,99,0.1003,80.4605,291.6,8579.372727,5276.5,2016,2609.584305,1,7000000,4521.983908
P,15768,10108,187475.7,6284060,10242,15645,SLKW,4091.25,0.25,5226,5413,9406,207,1664852.099,844860.9731,9873,130,0.1069,124.1206,269.46,7466.007477,4367,2015,1216.197174,1,14600000,6611.197044
P,15637,10064,164636.3,5805940,10456,15490,GEL,3766.5,0.21875,4408,4575,5925,385,1718628.598,891086.3324,10457,58,0.0797,75.182,281.14,8046.423841,4992.5,2015,1298.910076,1,7100000,3591.641379
P,15704,10084,173022.8,5953000,10459,15560,GEL,3883.5,0.21875,4505,4639,6866,296,1718643.821,891086.2135,10457,58,0.0797,75.182,281.14,8046.423841,4839,2015,1298.910076,2,7300000,3669.646305
P,15727,10141,170426.2,5691120,10501,15535,GEL,3829.5,0.21875,4575,4736,5800,204,1718659.044,891086.0951,10457,58,0.0797,75.182,281.14,8046.423841,4996,2015,1345.492756,2,8200000,3709.281773
P,15830,10151,164404.6,5440060,10519,15355,GEL,3971.25,0.25,4109,4231,4817,400,1721327.266,891217.9198,10500,58,0.0788,73.2662,282,8089.772727,1481,2015,1350.922491,2,6600000,3749.345484
P,15571,10176,161568.7,5214447,10558,15355,GEL,3706.5,0.3125,4224,4449,4621,383,1721340.636,891211.7443,10500,58,0.0788,73.2662,282,8089.772727,4465,2015,975.9361436,2,5900000,3591.641379
P,15640,10177,161250.3,5326660,10696,15430,GEL,3686.25,0.3125,4090,4213,5433,384,1721354.038,891205.5685,10500,58,0.0788,73.2662,282,8089.772727,1420,2015,975.9361436,2,7200000,3630.434154
S,17742,9848,137441.5,10606000,9829,17570,GEL,5842.5,0.40625,5276,5508,15256,699,1619479.913,819039.3007,9551,164,0.1141,180.4167,263.02,7152.613659,1534.5,2015,978.5147211,1,16000000,13989.47816
S,16974,9449,129073.7,9724000,9804,16825,GEL,5217,0.40625,4960,5292,11280,1229,1619497.065,819048.2148,9551,164,0.1141,180.4167,263.02,7152.613659,4586,2015,981.7252445,2,10200000,11480.89557
S,17634,9808,134193,10478000,9963,17462,GEL,5712,0.40625,4985,5511,14752,876,1619441.193,819025.5528,9551,164,0.1131,180.4167,263.02,7152.613659,4538.5,2015,978.5147211,2,10200000,11584.49064
S,17034,9470,127976,9734000,9880,16828,GEL,5187.75,0.40625,4491,5870,13178,694,1619460.101,819032.4496,9551,164,0.1131,180.4167,263.02,7152.613659,4541.5,2015,981.7252445,2,9400000,10124.16913
P,16354,10104,196933.6,8202000,10455,16197,SLKW,4302,0.25,4249,6145,3753,569,1713594.116,886870.7236,10400,60,0.0848,75.819,280,7989.090909,4836,2016,1308.706458,2,7400000,3591.641379
P,18206,12621,203331,5858000,12894,18045,SLKW,3911.25,0.1875,7115,7379,9376,184,1770236.753,842757.8935,12349,116,0.0566,55.3496,318.98,10033.28184,5916.5,2015,2745.700244,1,13800000,6674.577011
E,18582,10168,206915.6,11538000,10626,18521,GEL,5858.25,0.3125,5371,5702,9898,1001,1689388.148,859472.1492,10300,88,0.1009,86.4267,278,7888.863636,3690,2015,NaN,0,8900000,9410.116913
E,18629,10540,183265.5,11552000,10626,18521,GEL,5924.25,0.3125,5677,6332,10096,53,1689404.286,859472.0118,10300,88,0.1009,86.4267,278,7888.863636,3703,2015,NaN,0,7300000,9869.91133
P,15246,10211,151578.6,5126660,10553,15045,GEL,3412.5,0.3125,4299,4499,5006,480,1722800.34,891356.0406,10528,58,0.0785,73.2662,282.56,8118.045091,4877,2015,989.2650647,2,7300000,3913.974384
